"id","6.high","12.high","18.high","6.low","12.low","18.low","6.high","12.high","18.high","6.low","12.low","18.low"
23,0.78202575,1.20641485,1.10888805,0.51065535,0.54040225,0.57388285,0,0,2,2,2,1
50,1.1875,1.6318,1.9579,0.5776,0.56657,0.58788,0,0,0,0,0,0
36,0.82191,1.1431,1.6529,0.53658,0.56,0.52899,0,0,0,0,1,0
38,1.181,1.694,1.9953,0.56236,0.54578,0.53981,0,1,0,1,0,0
12,0.81382585,1.01552985,1.54875015,0.501244444,0.565154188,0.515407444,0,0,0,2,4,1
15,0.9791909,1.4132611,1.8953621,0.5236534,0.4942612,0.527608,0,0,0,0,0,0
13,0.780079,1.049901,1.318859,0.485396,0.470897,0.4735,0,0,0,0,1,1
34,1.1706,1.394,2.0262,0.71026,0.65037,0.70237,11,11,13,1,2,0
40,1.10123755,1.66161145,1.8408547,0.56758975,0.590631,0.6138708,0,0,0,0,0,0
2,0.98,1.381,1.512,0.528,0.503,0.547,0,1,0,0,1,0
21,1.105989,1.459664,1.905309,0.756004,0.906825,0.861525,0,0,1,0,1,0
3,0.7719513,1.158826,1.3055132,0.5020828,0.4474031,0.4797827,1,2,1,1,1,0
99,0.8728689,1.4939719,1.704976,0.5326597,0.5508415,0.5152783,0,0,0,0,1,2
44,1.091559,1.900251,2.249315,0.4874112,0.4635657,0.4738702,1,0,1,1,2,5
4,0.8603082,1.046242,1.3499432,0.5045573,0.5306645,0.5159573,0,0,1,0,1,0
19,0.8902723,1.3183221,1.2564171,0.5211637,0.4978525,0.552642,0,0,2,1,1,1
